Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,,Basic Industries,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,Consumer Services,Other Consumer Services
AACQ,Artius Acquisition Inc. Class A Common Stock,United States,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,United States,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,United States,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),United States,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,
AAL,American Airlines Group Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,United States,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Technology,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,United States,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Canada,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,United States,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,Health Care,Major Pharmaceuticals
ABCM,Abcam plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Durables,Automotive Aftermarket
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust Preferred Series A,United States,,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,United States,,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,United States,,
